"filename", "language", "CSS", "JavaScript", "vue", "XML", "Markdown", "JSON", "Swift", "HTML", "Groovy", "Java Properties", "Batch", "Java", "comment", "blank", "total"
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\ios\App\App\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 13, 12, 50
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\ios\App\App\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 116
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\ios\App\App\Assets.xcassets\Contents.json", "JSON", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\ios\App\App\Assets.xcassets\Splash.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 23
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\ios\App\App\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 33
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\ios\App\App\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 20
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\package-lock.json", "JSON", 0, 0, 0, 0, 0, 1870, 0, 0, 0, 0, 0, 0, 0, 1, 1871
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\package.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\src\App.vue", "vue", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\src\assets\vue.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\src\components\DurationPicker.vue", "vue", 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 158
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\src\components\ResultDisplay.vue", "vue", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\src\components\TimePicker.vue", "vue", 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 167
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\src\components\TimeSchedule.vue", "vue", 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 127
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\src\main.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\src\style.css", "CSS", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 81
"c:\Users\someo\OneDrive\Documents\GitHub\Payment-Calculator\Payment Calculator\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 71, 9, 434, 342, 4, 2044, 25, 13, 100, 8, 68, 27, 53, 173, 3371
